Rank,Name,GDP Growth,GDP per Capita,Trade Balance/GDP,Population
85,Trinidad and Tobago,-2.60%,"$16,100 ",10.20%,1.2 M
86,Mongolia,5.10%,"$3,700 ",-10.40%,3.1 M
87,Moldova,4.50%,"$2,300 ",-6.30%,3.4 M
88,Belarus,2.40%,"$5,700 ",-1.70%,9.5 M
89,Barbados,-0.20%,"$16,800 ",-3.80%,0.3 M
90,Rwanda,6.10%,$700 ,-6.80%,12.2 M
91,Dominican Republic,4.60%,"$7,100 ",-0.20%,10.3 M
92,Lebanon,1.50%,"$8,500 ",-22.80%,6.1 M
93,Kenya,4.90%,"$1,500 ",-6.30%,48.4 M
94,Ghana,8.40%,"$1,600 ",-4.50%,28.1 M
95,Egypt,4.20%,"$2,400 ",-6.30%,99.4 M
96,Namibia,-0.80%,"$5,200 ",-3.30%,2.5 M
97,Guatemala,2.80%,"$4,500 ",1.50%,16.6 M
98,Bosnia and Herzegovina,3%,"$5,200 ",-4.80%,3.8 M
99,Ecuador,2.40%,"$6,200 ",-0.30%,16.5 M
100,Senegal,7.20%,"$1,000 ",-7.30%,14 M
101,El Salvador,2.30%,"$3,900 ",-2%,6.2 M
102,Pakistan,5.40%,"$1,500 ",-4.10%,207.9 M
103,Zambia,3.40%,"$1,500 ",-3.90%,16.4 M
104,Cape Verde,4%,"$3,200 ",-6.10%,0.6 M
105,Uzbekistan,5.30%,"$1,500 ",3.50%,29 M
106,Bhutan,7.40%,"$3,100 ",-22.70%,0.8 M
107,Iran,3.70%,"$5,400 ",2.20%,82 M
108,Kyrgyzstan,4.60%,"$1,200 ",-4%,5.8 M
109,Bangladesh,7.40%,"$1,500 ",-2%,159.5 M
110,Nigeria,0.80%,"$2,000 ",2.80%,203.5 M
111,Timor-Leste,-4.60%,"$2,300 ",-10.20%,1.3 M
112,Uganda,4.80%,$600 ,-4.60%,40.9 M
113,Guyana,2.10%,"$4,700 ",-6.70%,0.7 M
114,Algeria,1.40%,"$4,100 ",-13.20%,41.7 M
114,Paraguay,4.80%,"$4,400 ",-0.80%,6 M
116,Nepal,7.90%,$800 ,-0.40%,29.7 M
117,Cote d'Ivoire,7.80%,"$1,700 ",-4.60%,26.3 M
118,Benin,5.60%,$800 ,-11.10%,11.3 M
119,Tanzania,6%,$900 ,-2.80%,55.5 M
120,Honduras,4.80%,"$2,500 ",-1.70%,9.2 M
121,Papua New Guinea,2.50%,"$2,600 ",24.50%,6 M
122,Cambodia,6.90%,"$1,400 ",-8.50%,16.4 M
123,Swaziland,1.60%,"$3,200 ",13.70%,1.1 M
124,Tajikistan,7.10%,$800 ,-0.50%,8.6 M
125,Madagascar,4.20%,$400 ,-0.30%,25.7 M
126,Afghanistan,2.70%,$600 ,5%,34.9 M
127,Niger,4.90%,$400 ,-14.10%,19.9 M
128,Bolivia,4.20%,"$3,400 ",-6.30%,11.3 M
129,Burkina Faso,6.40%,$700 ,-8.10%,19.7 M
130,Iraq,-2.10%,"$5,200 ",2.30%,40.2 M
131,Sierra Leone,3.70%,$500 ,-11.30%,6.3 M
132,Mali,5.40%,$800 ,-5.80%,18.4 M
133,Cameroon,3.50%,"$1,400 ",-2.70%,25.6 M
134,Lesotho,-1.60%,"$1,200 ",-3.70%,1 M
135,Nicaragua,4.90%,"$2,200 ",-5%,6.1 M
136,Malawi,4%,$300 ,-9.50%,19.8 M
137,Myanmar,6.80%,"$1,300 ",-4.30%,55.6 M
138,Angola,-2.50%,"$4,200 ",-1%,30.4 M
139,Zimbabwe,3.70%,"$1,100 ",-4.10%,13 M
140,Togo,4.40%,$600 ,-8%,8.2 M
141,Liberia,2.50%,$500 ,-19.10%,4.8 M
142,Mauritania,3.50%,"$1,100 ",-14.40%,3.8 M
143,Venezuela,-14%,"$6,600 ",2%,31.7 M
144,Suriname,1.90%,"$5,900 ",-0.10%,0.6 M
145,Mozambique,3.70%,$400 ,-22.40%,27.2 M
146,Ethiopia,10.90%,$800 ,-8.10%,108.4 M
147,Gabon,0.50%,"$7,200 ",-4.90%,2.1 M
148,Laos,6.90%,"$2,500 ",-12.10%,7.2 M
149,Burundi,0%,$300 ,-12.30%,11.8 M
150,Democratic Republic of the Congo,3.40%,$500 ,-0.50%,85.3 M
151,Guinea,8.20%,$800 ,-6.90%,11.9 M
152,Libya,64%,"$8,000 ",8.40%,6.8 M
153,Yemen,-5.90%,"$1,100 ",-4%,28.7 M
154,Syria,-36.50%,"$1,300 ",-8.60%,19.5 M
155,Gambia,4.60%,$500 ,-13.10%,2.1 M
156,Haiti,1.20%,$800 ,-4%,10.8 M
157,Chad,-3.10%,$700 ,-5.70%,15.8 M
158,Equatorial Guinea,-3.20%,"$9,900 ",-5.90%,0.8 M
159,Guinea-Bissau,5.90%,$700 ,-2%,1.8 M
160,Republic of the Congo,-3.10%,"$1,700 ",-12.90%,5.1 M
161,Central African Republic,4.30%,$400 ,-8.40%,5.7 M
